Domain,Question,Answer,Keywords
Operating System,What is system call?,Interface between user programs and OS services.,"system, call, interface, user, programs, OS"
Operating System,What is kernel?,Core component of OS managing system resources.,"kernel, OS, core, resources"
Operating System,Multiple processes stuck waiting for each other. Diagnose?,"Deadlock likely occurred. Use prevention, avoidance, or detection techniques.","processes, deadlock, prevention, avoidance, detection"
Operating System,CPU utilization is very low. Why?,Possible excessive I/O wait or poor scheduling.,"CPU, utilization, low, I/O, scheduling"
Operating System,System becomes slow due to memory issues.,Likely thrashing. Increase memory or optimize paging.,"system, slow, memory, thrashing, paging"
Operating System,Starvation occurs in scheduling.,Low priority processes never get CPU. Use aging technique.,"starvation, scheduling, priority, CPU, aging"
Operating System,Frequent context switching slows system.,Reduce number of processes or increase time slice.,"context, switching, processes, time, slice"
Operating System,High page fault rate observed.,Optimize memory allocation or increase RAM.,"page, fault, memory, allocation, RAM"
Operating System,Need efficient memory allocation.,"Use paging, segmentation, or buddy system.","memory, allocation, paging, segmentation, buddy"
Operating System,Concurrent access leads to inconsistency.,Use synchronization mechanisms like semaphores or mutex.,"concurrent, access, inconsistency, synchronization, semaphores, mutex"
Operating System,File corruption occurs after crash.,Use journaling file systems.,"file, corruption, crash, journaling, systems"
Operating System,Need faster disk access.,Use disk scheduling algorithms like SSTF or SCAN.,"disk, access, scheduling, SSTF, SCAN"
Computer Networks,What is a computer network?,A computer network is a collection of interconnected devices that communicate and share resources.,"computer, network, devices, communicate, resources"
Computer Networks,What is OSI model?,OSI model is a 7-layer architecture used to understand network communication.,"OSI, model, 7-layer, architecture, network, communication"
Computer Networks,What is TCP vs UDP?,TCP is connection-oriented reliable protocol whereas UDP is connectionless faster but unreliable.,"TCP, UDP, connection, oriented, reliable, connectionless, faster, unreliable"
Computer Networks,What is IP address?,A unique identifier assigned to each device on a network.,"IP, address, identifier, device, network"
Computer Networks,What is DNS?,Domain Name System translates domain names into IP addresses.,"DNS, domain, names, IP, addresses"
Computer Networks,What is HTTP vs HTTPS?,HTTPS is secure version of HTTP using encryption (SSL/TLS).,"HTTP, HTTPS, secure, encryption, SSL, TLS"
Computer Networks,What is subnetting?,Dividing a network into smaller subnetworks for efficiency and security.,"subnetting, network, subnetwork, efficiency, security"
Computer Networks,What is latency and bandwidth?,Latency is delay in transmission whereas bandwidth is data transfer capacity.,"latency, bandwidth, delay, transmission, data, transfer, capacity"
Computer Networks,What is packet switching?,Data is broken into packets and transmitted independently.,"packet, switching, data, packets, transmitted"
Computer Networks,Network is slow. Diagnose?,"Check bandwidth, latency, packet loss, congestion and hardware issues.","network, slow, bandwidth, latency, packet, loss, congestion, hardware"
Computer Networks,Frequent packet loss observed.,"Check network congestion, faulty hardware, or interference.","packet, loss, congestion, hardware, interference"
Computer Networks,Website loads slowly.,"Optimize DNS, caching, CDN usage, and reduce latency.","website, slow, DNS, caching, CDN, latency"
Computer Networks,Secure data transmission required.,"Use HTTPS, encryption protocols like TLS.","secure, data, transmission, HTTPS, encryption, TLS"
Computer Networks,High latency in system.,"Optimize routing, reduce hops, use CDN.","latency, system, routing, hops, CDN"
DBMS,What is DBMS?,Database Management System is software to store manage and retrieve data efficiently.,"DBMS, database, management, system, store, retrieve, data"
DBMS,What is normalization?,Process of organizing data to reduce redundancy.,"normalization, data, organize, redundancy"
DBMS,What is primary key?,A unique identifier for each record in a table.,"primary, key, unique, identifier, record, table"
DBMS,What is foreign key?,A key used to link two tables.,"foreign, key, link, tables"
DBMS,What is SQL?,Structured Query Language used to interact with databases.,"SQL, structured, query, language, databases"
DBMS,What is indexing?,Technique to speed up data retrieval.,"indexing, speed, data, retrieval"
DBMS,What is ACID properties?,Atomicity Consistency Isolation Durability ensure reliable transactions.,"ACID, atomicity, consistency, isolation, durability, transactions"
DBMS,What is transaction?,A sequence of operations performed as a single logical unit.,"transaction, operations, logical, unit"
DBMS,What is deadlock in DBMS?,Transactions waiting for each other indefinitely.,"deadlock, DBMS, transactions, waiting"
DBMS,What is join?,Combining rows from multiple tables based on conditions.,"join, rows, tables, conditions"
DBMS,Query execution is slow.,"Optimize queries, add indexing, avoid full table scans.","query, execution, slow, optimize, indexing, table, scans"
DBMS,Database has redundancy issues.,Apply normalization techniques.,"database, redundancy, normalization"
DBMS,Concurrent transactions cause inconsistency.,Use isolation levels and locking mechanisms.,"concurrent, transactions, inconsistency, isolation, locking"
DBMS,Frequent deadlocks in DB.,Use proper transaction ordering and indexing.,"deadlocks, DB, transaction, ordering, indexing"
DBMS,Database performance degrades with size.,"Use partitioning, indexing, caching.","database, performance, partitioning, indexing, caching"
Web Development,You notice your React app re-renders excessively causing performance issues. How would you diagnose and optimize it?,"Identify unnecessary re-renders using React DevTools. Optimize using memoization (React.memo, useMemo, useCallback), proper state management, avoiding inline functions/objects, and splitting components.","React, re-renders, DevTools, memoization, state, management, inline, functions, components"
Web Development,Your REST API works fine locally but is very slow in production under load. What steps would you take to debug and fix it?,"Check server logs, monitor latency, profile database queries, add caching (Redis), use load balancing, optimize endpoints, and scale using multiple instances.","REST, API, response, optimize, caching, endpoints, "
Web Development,Explain how you would design a scalable URL shortener like bit.ly.,"Use hashing for generating short URLs, store mappings in database, use caching for fast lookups, ensure uniqueness, handle collisions, and scale with distributed systems and load balancing.","scalability, microservices, load, balancing, caching, CDN, sharding, horizontal"
Web Development,Your website is vulnerable to XSS attacks. How would you identify and fix it?,"Sanitize user input, escape output, use Content Security Policy, avoid innerHTML, and validate data on both client and server.","XSS, attack, prevention, sanitize, input, escape, output, security"
Web Development,Users report inconsistent UI state across components in a large React app. How would you handle this?,"Use centralized state management like Redux or Context API, ensure single source of truth, and avoid prop drilling.","state, management, Redux, Context, API, prop, drilling"
Web Development,Your backend frequently crashes due to high memory usage. What could be the reasons and solutions?,"Possible memory leaks, large object retention, or inefficient queries. Use profiling tools, optimize data handling, and implement garbage collection-friendly patterns.","memory, leaks, backend, profiling, garbage, collection, optimization"
Web Development,How would you implement real-time chat functionality in a web app?,"Use WebSockets or libraries like Socket.io, manage connections efficiently, and handle scaling using message brokers.","real-time, chat, WebSockets, Socket.io, connections, brokers"
Web Development,Your application needs to support millions of users. What architecture would you choose?,"Use microservices, load balancing, caching, CDN, database sharding, and horizontal scaling.","architecture, large-scale, microservices, load, balancing, caching, sharding"
Web Development,Explain how browser rendering works and how to optimize it.,"Browser parses HTML to DOM, CSS to CSSOM, builds render tree, layout, and paint. Optimize by minimizing reflows, reducing DOM size, and using efficient CSS.","browser, rendering, HTML, CSS, DOM, layout, paint, performance"
Web Development,How would you secure authentication in a web application?,"Use HTTPS, hash passwords (bcrypt), implement JWT or OAuth, protect against CSRF/XSS, and use secure cookies.","authentication, HTTPS, passwords, JWT, OAuth, CSRF, XSS, cookies"
Web Development,Your API is being abused by too many requests. How do you handle it?,"Implement rate limiting, API keys, throttling, and monitoring.","rate, limiting, APIs, throttling, requests, protection"
Web Development,Explain how you would debug a production issue where users intermittently get 500 errors.,"Check logs, monitor metrics, reproduce issue, inspect stack traces, and add better error handling.","debugging, production, logs, monitoring, profiling"
Web Development,What strategies would you use to improve SEO of a web application?,"Use server-side rendering, proper meta tags, semantic HTML, fast loading, and structured data.","SEO, optimization, search, engine, ranking, metadata"
Web Development,Your app needs offline support. How would you implement it?,"Use service workers, caching strategies, and progressive web app techniques.","offline, support, caching, service, workers, PWA"
Web Development,Explain the difference between SSR and CSR and when to use each.,"SSR renders on server improving SEO and initial load, CSR renders on client improving interactivity. Use SSR for SEO-heavy apps and CSR for dynamic apps.","SSR, CSR, server-side, client-side, rendering"
Web Development,How would you optimize database interactions in a high-traffic web app?,"Use indexing, query optimization, caching, connection pooling, and batching.","database, optimization, queries, indexing, caching"
Web Development,Your frontend bundle size is too large. How do you reduce it?,"Use code splitting, lazy loading, tree shaking, and remove unused dependencies.","bundle, size, reduction, minification, compression, tree-shaking"
Web Development,Explain how you would handle file uploads securely and efficiently.,"Validate file type/size, store in cloud storage, use streaming, and scan for malware.","file, upload, security, validation, scanning"
Web Development,Your app suffers from race conditions in async calls. How do you fix it?,"Use proper state handling, cancellation tokens, and synchronization mechanisms.","race, conditions, concurrency, synchronization, locks"
Web Development,Design a notification system for a web application.,"Use message queues, push notifications, WebSockets, and scalable backend services.","notification, systems, push, real-time, alerts"
Web Development,What is authentication vs authorization?,Authentication verifies identity whereas authorization determines access rights.,"authentication, authorization, identity, access, control"
Web Development,What is session vs cookies?,Session stored on server while cookies stored on client.,"sessions, cookies, storage, authentication"
Web Development,What is JWT?,JSON Web Token used for secure data transmission and authentication.,"JWT, authentication, tokens, stateless"
Web Development,What is MVC architecture?,Model View Controller separates application logic UI and control.,"MVC, architecture, model, view, controller"
Web Development,Website loads very slowly. Diagnose?,Optimize images reduce requests use caching CDN and minify assets.,"website, performance, optimization, caching, rendering"
Web Development,API responses are slow.,Optimize database queries use caching and scale backend.,"API, response, optimization, caching, endpoints"
Web Development,User sessions getting lost.,Check session storage configuration and cookie settings.,"session, management, authentication, persistence"
Web Development,Security vulnerability in login system.,Use hashing HTTPS and proper validation.,"security, vulnerability, login, hashing, HTTPS, validation"
Web Development,Frequent server crashes.,Check logs memory leaks and scale infrastructure.,"server, crashes, logs, memory, leaks, scale, infrastructure"
Web Development,Need to handle high traffic.,Use load balancing caching CDN and horizontal scaling.,"traffic, load, balancing, caching, CDN, horizontal, scaling"
Web Development,Frontend state management becomes complex.,Use tools like Redux or Context API.,"frontend, state, management, Redux, Context, API"
Web Development,Database queries slow with large data.,Use indexing pagination and query optimization.,"database, queries, slow, indexing, pagination, optimization"
Web Development,Real-time updates required.,Use WebSockets or polling mechanisms.,"real-time, updates, WebSockets, polling"
Backend Development,What is REST API?,REST API follows stateless client-server communication using HTTP methods.,"REST, API, stateless, client-server, HTTP, methods"
Backend Development,What is middleware?,Middleware handles request processing between client and server.,"middleware, request, processing, client, server"
Backend Development,What is authentication vs authorization?,Authentication verifies identity while authorization checks permissions.,"authentication, authorization, identity, permissions"
Backend Development,What is JWT?,JWT is a token used for secure data transmission.,"JWT, token, secure, data, transmission"
Backend Development,What is MVC architecture?,MVC separates Model View Controller components.,"MVC, architecture, model, view, controller"
Backend Development,What is API rate limiting?,It restricts number of requests to prevent abuse.,"API, rate, limiting, requests, abuse"
Backend Development,What is session management?,It maintains user state across multiple requests.,"session, management, user, state, requests"
Backend Development,What is the difference between synchronous and asynchronous request handling?,"Synchronous blocks until a response is returned, asynchronous allows other tasks to run while waiting.","asynchronous, request, handling, tasks"
Backend Development,How does connection pooling improve database performance?,"It reuses existing connections instead of creating new ones, reducing overhead and latency.","connection, pooling, database, performance, reuse, latency"
Backend Development,What is caching and where can it be applied in backend systems?,"Caching stores frequently accessed data in memory (e.g., Redis, Memcached) to reduce DB calls.","caching, backend, data, memory, Redis, Memcached"
Backend Development,Explain the difference between SQL and NoSQL databases in backend design.,"SQL uses structured tables and schemas, NoSQL is schema‑less and optimized for scalability and flexibility.","SQL, NoSQL, structured, schema, scalability, flexibility"
Backend Development,What is API rate limiting and why is it important?,It restricts the number of requests per client to prevent abuse and ensure fair resource usage.,"API, rate, limiting, requests, abuse, fair, usage"
Backend Development,How do you design a fault‑tolerant backend system?,"Use redundancy, replication, graceful degradation, retries, and monitoring to handle failures.","fault-tolerant, backend, redundancy, replication, retries, monitoring"
Backend Development,What is the difference between horizontal and vertical scaling in backend systems?,"Horizontal scaling adds more servers, vertical scaling increases resources of a single server.","scaling, horizontal, servers, vertical, resources"
Backend Development,How do you secure REST APIs?,"Use HTTPS, authentication (JWT/OAuth2), input validation, rate limiting, and proper error handling.","secure, REST, APIs, HTTPS, JWT, OAuth2, validation, rate, limiting"
Backend Development,What is the role of a reverse proxy in backend architecture?,"It forwards client requests to backend servers, providing load balancing, caching, and security.","reverse, proxy, backend, load, balancing, caching, security"
Backend Development,What is caching?,Caching stores frequently accessed data for faster retrieval.,"caching, data, retrieval, memory"
Backend Development,How do you handle long‑running tasks in backend systems?,"Offload to background workers/queues (e.g., Celery, RabbitMQ, Kafka) instead of blocking API responses.","backend, long-running, tasks, background, workers, queues, Celery, RabbitMQ, Kafka"
AIML,What is machine learning?,Machine learning enables systems to learn from data.,"machine, learning, systems, data"
AIML,What is overfitting?,Overfitting occurs when model learns noise.,"overfitting, model, noise"
AIML,What is underfitting?,Underfitting fails to capture patterns.,"underfitting, patterns, fail"
AIML,What is supervised learning?,Learning using labeled data.,"supervised, learning, labeled, data"
AIML,What is unsupervised learning?,Learning without labeled data.,"unsupervised, learning, unlabeled, data"
AIML,What is classification?,Predicting discrete output categories.,"classification, discrete, output, categories"
AIML,What is regression?,Predicting continuous values.,"regression, continuous, values"
AIML,What is gradient descent?,Optimization algorithm to minimize loss function.,"gradient, descent, optimization, algorithm, minimize, loss, function"
AIML,What is the difference between classification and regression?,"Classification predicts discrete labels, regression predicts continuous values.","classification, discrete, labels, regression, continuous, values"
AIML,Explain bias–variance tradeoff.,"High bias underfits data, high variance overfits; the tradeoff balances model complexity and generalization.","bias, variance, tradeoff, underfit, overfit, complexity, generalization"
AIML,What is regularization and why is it used?,Regularization (L1/L2) penalizes large weights to prevent overfitting and improve generalization.,"regularization, L1, L2, weights, overfitting, generalization"
AIML,What is the difference between batch gradient descent and stochastic gradient descent?,"Batch uses the whole dataset per update, SGD uses one sample per update, mini‑batch uses subsets.","batch, gradient, descent, stochastic, dataset, update, mini-batch"
AIML,Explain the concept of a confusion matrix.,"A table showing true positives, false positives, true negatives, and false negatives for classification.","confusion, matrix, true, positives, false, negatives, classification"
AIML,"What is precision, recall, and F1‑score?","Precision = TP/(TP+FP), Recall = TP/(TP+FN), F1 = harmonic mean of precision and recall.","precision, recall, F1, TP, FP, FN, harmonic, mean"
AIML,What is the difference between CNN and RNN?,"CNNs capture spatial features (images), RNNs capture sequential dependencies (text, time series).","CNN, RNN, spatial, features, sequential, dependencies, images, text, time-series"
AIML,Explain word embeddings.,"Dense vector representations of words that capture semantic meaning (e.g., Word2Vec, GloVe).","word, embeddings, dense, vector, semantic, meaning, Word2Vec, GloVe"
AIML,What is transfer learning?,Using a pre‑trained model on one task and fine‑tuning it for another related task.,"transfer, learning, pre-trained, model, fine-tuning, task"
AIML,What is reinforcement learning?,"Learning by interacting with an environment, receiving rewards/punishments, and optimizing actions.","reinforcement, learning, environment, rewards, punishments, actions"
AIML,Explain overfitting in neural networks.,"When the model memorizes training data instead of generalizing; solved with dropout, regularization, or more data.","overfitting, neural, networks, training, data, generalization, dropout, regularization"
AIML,What is dropout?,A regularization technique where random neurons are ignored during training to prevent overfitting.,"dropout, regularization, neurons, training, overfitting"
AIML,What is the vanishing gradient problem?,"Gradients shrink during backpropagation in deep networks, slowing or preventing learning.","vanishing, gradient, problem, backpropagation, deep, networks, learning"
AIML,How does backpropagation work?,It computes gradients of loss w.r.t. weights by propagating errors backward through the network.,"backpropagation, gradients, loss, weights, errors, network"
AIML,What is a decision tree?,A tree‑structured model that splits data based on feature values to make predictions.,"decision, tree, model, data, feature, values, predictions"
Data Science,What is hypothesis testing?,Statistical method to test assumptions.,"hypothesis, testing, statistical, assumptions"
Data Science,What is p-value?,Probability under null hypothesis.,"p-value, probability, null, hypothesis"
Data Science,What is mean median mode?,Measures of central tendency.,"mean, median, mode, central, tendency"
Data Science,What is standard deviation?,Measure of data spread.,"standard, deviation, data, spread"
Data Science,What is EDA?,Exploratory Data Analysis for patterns.,"EDA, exploratory, data, analysis, patterns"
Data Science,What is data cleaning?,Process of fixing missing or incorrect data.,"data, cleaning, missing, incorrect"
Data Science,What is correlation?,Measure of relationship between variables.,"correlation, relationship, variables"
Data Science,What is normalization?,Scaling data to a specific range.,"normalization, scaling, data, range"
Data Science,What is the difference between structured and unstructured data?,"Structured data fits into rows/columns (SQL tables), unstructured data includes text, images, audio, etc.","structured, unstructured, data, SQL, tables, text, images, audio"
Data Science,"Explain the difference between descriptive, predictive, and prescriptive analytics.","Descriptive = summarize past data, Predictive = forecast future outcomes, Prescriptive = recommend actions.","descriptive, predictive, prescriptive, analytics, summarize, forecast, recommend"
Data Science,What is the difference between correlation and causation?,"Correlation shows statistical association, causation means one variable directly affects another.","correlation, causation, association, variable, affect"
Data Science,What is feature engineering?,Creating new input features or transforming existing ones to improve model performance.,"feature, engineering, input, transform, model, performance"
Data Science,Explain normalization vs standardization.,"Normalization scales values to [0,1], standardization centers data to mean 0 and variance 1.","normalization, standardization, scale, values, mean, variance"
Data Science,What is the difference between supervised and unsupervised learning?,"Supervised uses labeled data, unsupervised finds patterns in unlabeled data.","supervised, unsupervised, learning, labeled, unlabeled, data"
Data Science,What is cross‑validation and why is it important?,Splitting data into folds to test model generalization and avoid overfitting.,"cross-validation, folds, generalization, overfitting"
Data Science,Explain the difference between Type I and Type II errors.,"Type I = false positive (rejecting true null), Type II = false negative (failing to reject false null).","type, I, II, errors, false, positive, negative, null"
Data Science,What is the curse of dimensionality?,"As features increase, data becomes sparse, making models harder to train and generalize.","curse, dimensionality, features, sparse, models, generalization"
Data Science,What is the difference between classification accuracy and ROC‑AUC?,"Accuracy measures correct predictions, ROC‑AUC measures ability to distinguish classes across thresholds.","accuracy, ROC-AUC, classification, predictions, thresholds"
Data Science,What is a confusion matrix?,"A table showing TP, FP, TN, FN to evaluate classification performance.","confusion, matrix, TP, FP, TN, FN, classification"
Data Science,What is the difference between parametric and non‑parametric models?,"Parametric assumes fixed form (e.g., linear regression), non‑parametric adapts to data (e.g., k‑NN).","parametric, non-parametric, fixed, form, linear, regression, k-NN, data"
Data Science,Explain the difference between regression and clustering.,"Regression predicts continuous values, clustering groups data into clusters without labels.","regression, continuous, values, clustering, groups, data, labels"
Data Science,What is dimensionality reduction?,Techniques like PCA reduce features while preserving variance to simplify models.,"dimensionality, reduction, PCA, features, variance, simplify, models"
Data Science,What is data cleaning and why is it important?,"Removing duplicates, handling missing values, correcting errors — ensures reliable analysis and models.","data, cleaning, duplicates, missing, values, errors, reliable, analysis"
System Design,What is scalability?,Ability to handle increased load.,"scalability, load, handle, increased"
System Design,What is load balancing?,Distributing traffic across servers.,"load, balancing, traffic, servers, distribute"
System Design,What is microservices?,Architecture with independent services.,"microservices, architecture, independent, services"
System Design,What is monolithic architecture?,Single unified system.,"monolithic, architecture, unified, system"
System Design,What is database sharding?,Splitting database into parts.,"database, sharding, splitting, parts"
System Design,What is caching in system design?,Stores data for faster access.,"caching, system, design, data, faster, access"
System Design,What is CDN?,Content Delivery Network improves latency.,"CDN, content, delivery, network, latency"
System Design,What is fault tolerance?,System continues working despite failures.,"fault, tolerance, system, failures, continue"
System Design,What is the difference between monolithic and microservices architecture?,"Monolithic is a single codebase, microservices split functionality into independent services communicating via APIs.","monolithic, microservices, architecture, codebase, APIs"
System Design,How would you design a URL shortener like Bitly?,"Use hash functions for unique IDs, a database to store mappings, caching for fast lookups, and replication for scalability.","URL, shortener, hash, functions, IDs, database, caching, replication, scalability"
System Design,What is CAP theorem and why is it important?,"It states that in distributed systems you can only guarantee two of Consistency, Availability, and Partition tolerance.","CAP, theorem, consistency, availability, partition, tolerance, distributed"
System Design,How do you design a scalable chat application?,"Use WebSockets for real‑time communication, sharded databases for message storage, and load balancers for scaling.","chat, application, scalable, WebSockets, communication, databases, load, balancers"
System Design,What is the difference between horizontal and vertical scaling?,"Horizontal scaling adds more machines, vertical scaling increases resources of a single machine.","scaling, horizontal, machines, vertical, resources"
System Design,How would you design a recommendation system?,"Use collaborative filtering, content‑based filtering, or hybrid approaches with caching and batch updates.","recommendation, system, collaborative, filtering, content-based, hybrid, caching, batch"
System Design,What is the role of a message queue in system design?,"It decouples producers and consumers, enabling asynchronous processing and fault tolerance.","message, queue, producers, consumers, asynchronous, processing, fault, tolerance"
System Design,How do you design a system to handle millions of concurrent users?,"Use load balancing, distributed caching, database sharding, and horizontal scaling with monitoring.","concurrent, users, load, balancing, caching, sharding, horizontal, scaling, monitoring"
System Design,What is CDN and why is it used?,Content Delivery Network caches content at edge servers to reduce latency and improve availability.,"CDN, content, delivery, network, latency, availability"
System Design,How would you design a logging and monitoring system?,"Collect logs centrally, use tools like ELK/Prometheus, add alerting, and ensure scalability with distributed storage.","logging, monitoring, ELK, Prometheus, alerting, scalability, distributed"
System Design,How do you design a payment gateway system?,"Ensure security with encryption, PCI compliance, transaction logs, retries, and integration with banks/APIs.","payment, gateway, security, encryption, PCI, compliance, transactions, banks, APIs"
System Design,What is database sharding?,Splitting a database into smaller parts distributed across servers to improve scalability and performance.,"database, sharding, servers, scalability, performance"
System Design,How would you design a scalable file storage system like Google Drive?,"Use distributed storage, metadata servers, replication, chunking of files, and CDN for fast access.","file, storage, scalable, distributed, metadata, replication, chunking, CDN"
System Design,What is eventual consistency?,"In distributed systems, updates propagate asynchronously, and all nodes become consistent over time.","eventual, consistency, distributed, systems, updates, asynchronous"
System Design,How do you design a rate limiter?,"Use token bucket or leaky bucket algorithms, store counters in Redis, and enforce limits per client.","rate, limiter, token, bucket, leaky, bucket, Redis, client"
Cloud & DevOps,What is cloud computing?,Delivery of computing services over internet.,"cloud, computing, services, internet"
Cloud & DevOps,What is AWS?,Cloud platform for infrastructure.,"AWS, cloud, platform, infrastructure"
Cloud & DevOps,What is Docker?,Tool for containerization.,"Docker, containerization, tool"
Cloud & DevOps,What is Kubernetes?,Container orchestration system.,"Kubernetes, container, orchestration, system"
Cloud & DevOps,What is CI/CD?,Continuous integration and deployment.,"CI, CD, continuous, integration, deployment"
Cloud & DevOps,What is virtualization?,Creating virtual versions of resources.,"virtualization, virtual, resources"
Cloud & DevOps,What is infrastructure as code?,Managing infrastructure via code.,"infrastructure, code, IaC, Terraform, CloudFormation, automation"
Cloud & DevOps,What is scaling?,Increasing resources to handle load.,"scaling, resources, load"
Cloud & DevOps,What is Infrastructure as Code (IaC)?,"IaC is managing infrastructure using code (e.g., Terraform, CloudFormation) to ensure consistency and automation.","continuous, integration, deployment, CI, CD, testing, production"
Cloud & DevOps,Explain the difference between continuous integration and continuous deployment.,"CI automates code integration and testing, CD automates deployment of tested code to production.","CI, CD, integration, testing, deployment, production"
Cloud & DevOps,What is containerization and why is it important?,"Containerization packages applications with dependencies (e.g., Docker) for portability and consistency across environments.","containerization, Docker, portability, consistency, dependencies"
Cloud & DevOps,What is Kubernetes and why is it used?,"Kubernetes is a container orchestration system that automates deployment, scaling, and management of containerized applications.","Kubernetes, container, orchestration, deployment, scaling, management"
Cloud & DevOps,"Explain the difference between public, private, and hybrid cloud.","Public cloud is shared infrastructure (AWS, Azure), private cloud is dedicated, hybrid combines both.","public, private, hybrid, cloud, AWS, Azure, shared, dedicated"
Cloud & DevOps,What is serverless computing?,"Serverless allows running code without managing servers, scaling automatically (e.g., AWS Lambda, Azure Functions).","serverless, computing, code, servers, scaling, AWS, Lambda, Azure, Functions"
Cloud & DevOps,How do you implement monitoring in DevOps?,"Use tools like Prometheus, Grafana, ELK stack, and set up alerts for metrics/logs.","monitoring, Prometheus, Grafana, ELK, alerts, metrics, logs"
Cloud & DevOps,What is blue‑green deployment?,A deployment strategy where two environments (blue and green) are used to switch traffic seamlessly during updates.,"blue-green, deployment, environments, traffic, updates"
Cloud & DevOps,What is rolling deployment?,Gradually replacing old instances with new ones to minimize downtime and risk.,"rolling, deployment, instances, downtime, risk"
Cloud & DevOps,How do you ensure high availability in cloud systems?,"Use load balancers, replication, auto‑scaling, and multi‑region deployments.","high, availability, load, balancers, replication, auto-scaling, multi-region"
Cloud & DevOps,What is a CI/CD pipeline?,"A set of automated steps for building, testing, and deploying applications.","CI/CD, pipeline, automated, build, test, deploy"
Cloud & DevOps,What is the difference between Docker image and Docker container?,"Image is a blueprint, container is a running instance of that image.","Docker, image, container, blueprint, instance"
Cloud & DevOps,How do you secure cloud applications?,"Use IAM roles, encryption, firewalls, secure APIs, and regular audits.","cloud, security, IAM, encryption, firewalls, APIs, audits"
Cloud & DevOps,What is cloud auto‑scaling?,Automatically adjusting resources based on demand to optimize performance and cost.,"cloud, auto-scaling, resources, demand, performance, cost"
Cloud & DevOps,Explain the concept of observability.,"Observability is the ability to understand system state using logs, metrics, and traces.","observability, logs, metrics, traces, system, state"
Cybersecurity,What is encryption?,Securing data by converting it.,"encryption, data, security"
Cybersecurity,What is hashing?,One-way function for data security.,"hashing, one-way, function, security"
Cybersecurity,What is phishing?,Fraudulent attempt to steal data.,"phishing, fraudulent, data, theft"
Cybersecurity,What is firewall?,Filters network traffic.,"firewall, network, traffic, filter"
Cybersecurity,What is SSL?,Protocol for secure communication.,"SSL, secure, communication, protocol"
Cybersecurity,What is malware?,Software designed to harm systems.,"malware, software, harm, systems"
Cybersecurity,What is authentication?,Verifying user identity.,"authentication, user, identity"
Cybersecurity,What is authorization?,Granting access permissions.,"authorization, access, permissions"
Cybersecurity,What is the difference between symmetric and asymmetric encryption?,"Symmetric uses one key for encryption/decryption, asymmetric uses public/private key pairs.","symmetric, asymmetric, encryption, key, public, private"
Cybersecurity,What is hashing and why is it important in security?,"Hashing generates fixed‑length values from data, ensuring integrity and used in password storage.","hashing, integrity, passwords, storage"
Cybersecurity,What is SQL injection and how do you prevent it?,An attack where malicious SQL is inserted into queries; prevent using parameterized queries or ORM.,"SQL, injection, attack, parameterized, queries, ORM"
Cybersecurity,What is cross‑site scripting (XSS)?,Injection of malicious scripts into web pages; prevented with input validation and output encoding.,"XSS, scripts, injection, validation, encoding"
Cybersecurity,What is cross‑site request forgery (CSRF)?,Trick users into executing unwanted actions; prevented with CSRF tokens and same‑site cookies.,"CSRF, tokens, cookies, validation"
Cybersecurity,What is the difference between IDS and IPS?,"IDS detects malicious activity, IPS detects and blocks it in real time.","IDS, IPS, detection, blocking, real-time"
Cybersecurity,What is a firewall and how does it work?,"A firewall filters traffic based on rules, blocking unauthorized access while allowing legitimate traffic.","firewall, traffic, rules, access, block"
Cybersecurity,What is phishing and how can it be mitigated?,"Fraudulent attempts to steal data via fake emails/sites; mitigated with awareness, filters, and MFA.","phishing, emails, filters, MFA, awareness"
Cybersecurity,What is ransomware?,"Malware that encrypts files and demands payment; mitigated with backups, patching, and endpoint protection.","ransomware, malware, encryption, payment, backups, protection"
Cybersecurity,What is penetration testing?,Simulated attacks to identify vulnerabilities before malicious actors exploit them.,"penetration, testing, vulnerabilities, attacks"
Cybersecurity,What is zero‑trust security?,"A model where no user/system is trusted by default, requiring continuous verification.","zero-trust, security, verification, user, system"
Cybersecurity,What is multi‑factor authentication (MFA)?,"Security requiring two or more verification methods (password + OTP, biometrics, etc.).","MFA, authentication, password, OTP, biometrics"
Cybersecurity,What is social engineering in cybersecurity?,Manipulating people to reveal confidential information; mitigated with training and awareness.,"social, engineering, manipulation, confidential, awareness"
Cybersecurity,What is a DDoS attack?,Distributed Denial of Service floods servers with traffic to make them unavailable.,"DDoS, attack, traffic, servers, unavailable"
Cybersecurity,What is public key infrastructure (PKI)?,A framework for managing digital certificates and encryption keys to secure communications.,"PKI, certificates, encryption, keys, communication"
OOPS,What is OOP?,Programming based on objects.,"OOP, objects, programming"
OOPS,What is polymorphism?,"Polymorphism allows methods or operators to behave differently based on context (compile‑time via overloading, runtime via overriding).","polymorphism, methods, operators, overloading, overriding"
OOPS,What is abstraction?,Hiding implementation details.,"abstraction, implementation, details, hide"
OOPS,What is process?,Program in execution.,"process, hardware, software, resources"
OOPS,What is thread?,Smallest unit of execution.,"thread, program, execution"
OOPS,What are the four pillars of OOP?,"Encapsulation, Abstraction, Inheritance, and Polymorphism.","encapsulation, abstraction, inheritance, polymorphism"
OOPS,What is encapsulation and why is it important?,"Encapsulation bundles data and methods together, restricting direct access to internal state for security and modularity.","encapsulation, data, methods, access, security, modularity"
OOPS,What is abstraction?,"Abstraction hides implementation details and exposes only essential features, achieved via abstract classes and interfaces.","abstraction, implementation, details, essential, features, classes, interfaces"
